vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-01-01T00:00:04.000,2021-01-01T00:10:58.000,1,2.35,1,N,48,141,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2021-01-01T00:00:18.000,2021-01-01T00:07:17.000,2,0.90,1,N,170,233,2,6,3.5,0.5,0,0,0.3,10.3,2.5
1,2021-01-01T00:00:28.000,2021-01-01T00:17:28.000,1,4.10,1,N,95,157,2,16,0.5,0.5,0,0,0.3,17.3,0
2,2021-01-01T00:00:29.000,2021-01-01T00:02:49.000,1,0.96,1,N,79,137,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2021-01-01T00:00:36.000,2021-01-01T00:19:57.000,1,9.40,1,N,138,90,2,27.5,3,0.5,0,6.12,0.3,37.42,2.5
2,2021-01-01T00:00:39.000,2021-01-01T00:03:41.000,1,0.95,1,N,140,263,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
1,2021-01-01T00:00:50.000,2021-01-01T00:04:48.000,1,0.70,1,N,162,161,1,5,3,0.5,2.6,0,0.3,11.4,2.5
2,2021-01-01T00:00:53.000,2021-01-01T00:09:47.000,1,2.66,1,N,24,237,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
2,2021-01-01T00:00:53.000,2021-01-01T00:02:50.000,1,0.76,1,N,238,151,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2021-01-01T00:01:01.000,2021-01-01T00:07:21.000,3,1.48,1,N,43,41,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
,2021-01-01T00:01:04.000,2021-01-01T01:01:02.000,,5.77,,,265,168,,28.65,0,0.5,0,0,0.3,29.45,0
,2021-01-01T00:01:06.000,2021-01-01T00:01:02.000,,9.23,,,265,108,,33.73,0,0.5,0,0,0.3,34.53,0
,2021-01-01T00:01:07.000,2021-01-01T00:01:03.000,,12.31,,,265,131,,28.79,0,0.5,0,0,0.3,29.59,0
,2021-01-01T00:01:08.000,2021-01-01T00:01:03.000,,11.23,,,265,35,,31.45,0,0.5,0,0,0.3,32.25,0
1,2021-01-01T00:01:09.000,2021-01-01T00:07:28.000,1,1.40,1,N,100,229,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2021-01-01T00:01:13.000,2021-01-01T00:24:16.000,0,14.30,1,N,236,28,1,39,3,0.5,0,6.12,0.3,48.92,2.5
,2021-01-01T00:01:14.000,2021-01-01T00:01:02.000,,4.10,,,265,69,,16.52,0,0.5,0,0,0.3,17.32,0
1,2021-01-01T00:01:19.000,2021-01-01T00:01:40.000,2,0.00,5,Y,75,75,1,10,0,0,0,0,0.3,10.3,0
,2021-01-01T00:01:20.000,2021-01-01T01:01:04.000,,8.75,,,265,17,,26.74,0,0.5,0,0,0.3,27.54,0
,2021-01-01T00:01:44.000,2021-01-01T00:01:02.000,,9.37,,,265,259,,23.42,0,0.5,0,0,0.3,24.22,0
,2021-01-01T00:01:44.000,2021-01-01T01:01:40.000,,16.73,,,265,177,,42.27,0,0.5,0,0,0.3,43.07,0
,2021-01-01T00:01:45.000,2021-01-01T00:01:04.000,,2.45,,,265,212,,15.2,0,0.5,0,0,0.3,16,0
1,2021-01-01T00:01:49.000,2021-01-01T00:32:33.000,1,12.40,1,N,249,94,2,37.5,3,0.5,0,0,0.3,41.3,2.5
2,2021-01-01T00:01:57.000,2021-01-01T00:15:38.000,3,3.10,1,N,43,161,1,12.5,0.5,0.5,0.01,0,0.3,16.31,2.5
,2021-01-01T00:01:59.000,2021-01-01T00:01:03.000,,3.88,,,265,200,,15.2,0,0.5,0,0,0.3,16,0
2,2021-01-01T00:02:00.000,2021-01-01T00:13:59.000,1,2.52,1,N,142,263,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,2021-01-01T00:02:05.000,2021-01-01T00:07:39.000,1,1.60,1,N,236,141,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
2,2021-01-01T00:02:09.000,2021-01-01T00:07:00.000,2,0.62,1,N,74,41,2,5,0.5,0.5,0,0,0.3,6.3,0
